Button			   Date
Gamma,,,Wed Apr 06 2022 17:11:06 GMT-0700 (Pacific Daylight Time)
Magnetometer,,,Wed Apr 06 2022 17:12:54 GMT-0700 (Pacific Daylight Time)
Gamma,,,Wed Apr 06 2022 17:12:55 GMT-0700 (Pacific Daylight Time)
Neutron,,,Wed Apr 06 2022 17:12:57 GMT-0700 (Pacific Daylight Time)
Low Gain Antenna,,,Wed Apr 06 2022 17:12:59 GMT-0700 (Pacific Daylight Time)
Multispectral,,,Wed Apr 06 2022 17:13:01 GMT-0700 (Pacific Daylight Time)
Gamma,,,Wed Apr 06 2022 17:13:18 GMT-0700 (Pacific Daylight Time)
Multispectral,,,Wed Apr 06 2022 17:13:23 GMT-0700 (Pacific Daylight Time)
Multispectral,,,Wed Apr 06 2022 17:13:52 GMT-0700 (Pacific Daylight Time)
Low Gain Antenna,,,Wed Apr 06 2022 17:13:53 GMT-0700 (Pacific Daylight Time)
Neutron,,,Wed Apr 06 2022 17:13:56 GMT-0700 (Pacific Daylight Time)
Gamma,,,Wed Apr 06 2022 17:13:59 GMT-0700 (Pacific Daylight Time)
Magnetometer,,,Wed Apr 06 2022 17:14:01 GMT-0700 (Pacific Daylight Time)
Gamma,,,Wed Apr 06 2022 17:14:12 GMT-0700 (Pacific Daylight Time)
Neutron,,,Wed Apr 06 2022 17:14:12 GMT-0700 (Pacific Daylight Time)
Low Gain Antenna,,,Wed Apr 06 2022 17:14:13 GMT-0700 (Pacific Daylight Time)
Multispectral,,,Wed Apr 06 2022 17:14:13 GMT-0700 (Pacific Daylight Time)
Magnetometer,,,Wed Apr 06 2022 17:14:14 GMT-0700 (Pacific Daylight Time)
Science,,,Wed Apr 06 2022 17:14:24 GMT-0700 (Pacific Daylight Time)
Navigation,,,Wed Apr 06 2022 17:14:27 GMT-0700 (Pacific Daylight Time)
Video,,,Wed Apr 06 2022 17:14:30 GMT-0700 (Pacific Daylight Time)
Communication,,,Wed Apr 06 2022 17:14:34 GMT-0700 (Pacific Daylight Time)
Xband,,,Wed Apr 06 2022 17:14:36 GMT-0700 (Pacific Daylight Time)
Spacecraft,,,Wed Apr 06 2022 17:14:41 GMT-0700 (Pacific Daylight Time)
Central Core,,,Wed Apr 06 2022 17:14:45 GMT-0700 (Pacific Daylight Time)
